,td_date
1109,2005-09-27
1110,2005-09-28
1111,2005-09-29
1112,2005-10-11
1113,2005-10-12
1114,2005-10-13
1115,2005-10-18
1116,2005-10-19
1117,2005-10-20
1118,2005-10-25
1119,2005-10-26
1120,2005-10-27
1121,2005-11-02
1122,2005-11-03
1123,2005-11-08
1124,2005-11-09
1125,2005-11-10
1126,2005-11-15
1127,2005-11-16
1128,2005-11-17
1129,2005-11-22
1130,2005-11-23
1131,2005-11-24
1132,2005-11-29
1133,2005-12-06
1134,2005-12-07
1135,2005-12-08
1136,2005-12-13
1137,2005-12-14
1138,2005-12-15
1139,2005-12-20
1140,2005-12-21
1141,2005-12-22
1142,2005-12-27
1143,2005-12-28
1144,2005-12-29
1145,2006-01-05
1146,2006-01-10
1147,2006-01-11
1148,2006-01-12
1149,2006-01-17
1150,2006-01-18
1151,2006-01-19
1152,2006-01-24
1153,2006-02-07
1154,2006-02-08
1155,2006-02-09
1156,2006-02-14
1157,2006-02-15
1158,2006-02-16
1159,2006-02-21
1160,2006-02-22
1161,2006-02-23
1162,2006-03-02
1163,2006-03-07
1164,2006-03-08
1165,2006-03-09
1166,2006-03-14
1167,2006-03-15
1168,2006-03-16
1169,2006-03-21
1170,2006-03-22
1171,2006-03-23
1172,2006-03-28
1173,2006-03-29
1174,2006-03-30
1175,2006-04-04
1176,2006-04-05
1177,2006-04-06
1178,2006-04-11
1179,2006-04-12
1180,2006-04-13
1181,2006-04-18
1182,2006-04-19
1183,2006-04-20
1184,2006-04-25
1185,2006-04-26
1186,2006-04-27
1187,2006-05-09
1188,2006-05-10
1189,2006-05-11
1190,2006-05-16
1191,2006-05-17
1192,2006-05-18
1193,2006-05-23
1194,2006-05-24
1195,2006-05-25
1196,2006-05-30
1197,2006-06-06
1198,2006-06-07
1199,2006-06-08
1200,2006-06-13
1201,2006-06-14
1202,2006-06-15
1203,2006-06-20
1204,2006-06-21
1205,2006-06-22
1206,2006-06-27
1207,2006-06-28
1208,2006-06-29
1209,2006-07-04
1210,2006-07-05
1211,2006-07-06
1212,2006-07-11
1213,2006-07-12
1214,2006-07-13
1215,2006-07-18
1216,2006-07-19
1217,2006-07-20
1218,2006-07-25
1219,2006-07-26
1220,2006-07-27
1221,2006-08-02
1222,2006-08-03
1223,2006-08-08
1224,2006-08-09
1225,2006-08-10
1226,2006-08-15
1227,2006-08-16
1228,2006-08-17
1229,2006-08-22
1230,2006-08-23
1231,2006-08-24
1232,2006-08-29
1233,2006-08-30
1234,2006-09-05
1235,2006-09-06
1236,2006-09-07
1237,2006-09-12
1238,2006-09-13
1239,2006-09-14
1240,2006-09-19
1241,2006-09-20
1242,2006-09-21
1243,2006-09-26
1244,2006-09-27
1245,2006-09-28
1246,2006-10-10
1247,2006-10-11
1248,2006-10-12
1249,2006-10-17
1250,2006-10-18
1251,2006-10-19
1252,2006-10-24
1253,2006-10-25
1254,2006-10-26
1255,2006-11-02
1256,2006-11-07
1257,2006-11-08
1258,2006-11-09
1259,2006-11-14
1260,2006-11-15
1261,2006-11-16
1262,2006-11-21
1263,2006-11-22
1264,2006-11-23
1265,2006-11-28
1266,2006-11-29
1267,2006-12-05
1268,2006-12-06
1269,2006-12-07
1270,2006-12-12
1271,2006-12-13
1272,2006-12-14
1273,2006-12-19
1274,2006-12-20
1275,2006-12-21
1276,2006-12-26
1277,2006-12-27
1278,2006-12-28
1279,2007-01-09
1280,2007-01-10
1281,2007-01-11
1282,2007-01-16
1283,2007-01-17
1284,2007-01-18
1285,2007-01-23
1286,2007-01-24
1287,2007-01-25
1288,2007-01-30
1289,2007-02-06
1290,2007-02-07
1291,2007-02-08
1292,2007-02-13
1293,2007-02-14
1294,2007-02-15
1295,2007-02-27
1296,2007-03-06
1297,2007-03-07
1298,2007-03-08
1299,2007-03-13
1300,2007-03-14
1301,2007-03-15
1302,2007-03-20
1303,2007-03-21
1304,2007-03-22
1305,2007-03-27
1306,2007-03-28
1307,2007-03-29
1308,2007-04-03
1309,2007-04-04
1310,2007-04-05
1311,2007-04-10
1312,2007-04-11
1313,2007-04-12
1314,2007-04-17
1315,2007-04-18
1316,2007-04-19
1317,2007-04-24
1318,2007-04-25
1319,2007-04-26
1320,2007-05-09
1321,2007-05-10
1322,2007-05-15
1323,2007-05-16
1324,2007-05-17
1325,2007-05-22
1326,2007-05-23
1327,2007-05-24
1328,2007-05-29
1329,2007-05-30
1330,2007-06-05
1331,2007-06-06
1332,2007-06-07
1333,2007-06-12
1334,2007-06-13
1335,2007-06-14
1336,2007-06-19
1337,2007-06-20
1338,2007-06-21
1339,2007-06-26
1340,2007-06-27
1341,2007-06-28
1342,2007-07-03
1343,2007-07-04
1344,2007-07-05
1345,2007-07-10
1346,2007-07-11
1347,2007-07-12
1348,2007-07-17
1349,2007-07-18
1350,2007-07-19
1351,2007-07-24
1352,2007-07-25
1353,2007-07-26
1354,2007-08-02
1355,2007-08-07
1356,2007-08-08
1357,2007-08-09
1358,2007-08-14
1359,2007-08-15
1360,2007-08-16
1361,2007-08-21
1362,2007-08-22
1363,2007-08-23
1364,2007-08-28
1365,2007-08-29
1366,2007-08-30
1367,2007-09-04
1368,2007-09-05
1369,2007-09-06
1370,2007-09-11
1371,2007-09-12
1372,2007-09-13
1373,2007-09-18
1374,2007-09-19
1375,2007-09-20
1376,2007-09-25
1377,2007-09-26
1378,2007-09-27
1379,2007-10-09
1380,2007-10-10
1381,2007-10-11
1382,2007-10-16
1383,2007-10-17
1384,2007-10-18
1385,2007-10-23
1386,2007-10-24
1387,2007-10-25
1388,2007-10-30
1389,2007-11-06
1390,2007-11-07
1391,2007-11-08
1392,2007-11-13
1393,2007-11-14
1394,2007-11-15
1395,2007-11-20
1396,2007-11-21
1397,2007-11-22
1398,2007-11-27
1399,2007-11-28
1400,2007-11-29
1401,2007-12-04
1402,2007-12-05
1403,2007-12-06
1404,2007-12-11
1405,2007-12-12
1406,2007-12-13
1407,2007-12-18
1408,2007-12-19
1409,2007-12-20
1410,2007-12-25
1411,2007-12-26
1412,2007-12-27
1413,2008-01-03
1414,2008-01-08
1415,2008-01-09
1416,2008-01-10
1417,2008-01-15
1418,2008-01-16
1419,2008-01-17
1420,2008-01-22
1421,2008-01-23
1422,2008-01-24
1423,2008-01-29
1424,2008-01-30
1425,2008-02-14
1426,2008-02-19
1427,2008-02-20
1428,2008-02-21
1429,2008-02-26
1430,2008-02-27
1431,2008-02-28
1432,2008-03-04
1433,2008-03-05
1434,2008-03-06
1435,2008-03-11
1436,2008-03-12
